,Warehouse_Block,Shipment_Mode,Customer_Calls,Calls_Intensity,Customer_Rating,Rating_Satisfaction,Product_Cost,Cost_Segment,Prior_Purchases,Customer_Segment,Product_Importance,Gender,Product_Discount,Discount_Segment,Product_Weight,Weight_Segment,Delivery_Status
2121,B,Ship,4,Moderate,4,High Rating - Satisfied,168,Cheap,2,New,Medium,Male,63,53-65(%),1474,Light,Not On Time
2122,C,Ship,3,Few,4,High Rating - Satisfied,181,Standard,2,New,Medium,Female,45,40-52(%),3448,Medium,Not On Time
2123,E,Ship,3,Few,2,Low Rating - Dissatisfied,238,Standard,2,New,Low,Female,29,27-39(%),3728,Medium,Not On Time
2124,D,Ship,3,Few,2,Low Rating - Dissatisfied,250,Standard,5,Regular,Low,Female,36,27-39(%),2717,Medium,Not On Time
2125,E,Ship,3,Few,1,Low Rating - Dissatisfied,152,Cheap,2,New,Low,Female,25,14-26(%),1848,Medium,Not On Time
2126,A,Ship,4,Moderate,5,High Rating - Satisfied,242,Standard,4,Regular,Low,Female,35,27-39(%),3215,Medium,Not On Time
2127,B,Ship,3,Few,1,Low Rating - Dissatisfied,236,Standard,2,New,High,Male,2,1-13(%),3949,Medium,Not On Time
2128,C,Ship,4,Moderate,1,Low Rating - Dissatisfied,238,Standard,4,Regular,Low,Female,22,14-26(%),3950,Medium,Not On Time
2129,E,Ship,4,Moderate,4,High Rating - Satisfied,165,Cheap,5,Regular,Low,Male,21,14-26(%),1727,Light,Not On Time
2130,D,Ship,4,Moderate,2,Low Rating - Dissatisfied,271,Expensive,3,New,Medium,Male,50,40-52(%),3448,Medium,Not On Time
2131,E,Ship,3,Few,3,Low Rating - Dissatisfied,109,Cheap,2,New,Medium,Male,18,14-26(%),1661,Light,Not On Time
2132,A,Ship,4,Moderate,1,Low Rating - Dissatisfied,235,Standard,3,New,High,Female,22,14-26(%),3695,Medium,Not On Time
2133,B,Ship,3,Few,3,Low Rating - Dissatisfied,186,Standard,3,New,Medium,Male,49,40-52(%),2356,Medium,Not On Time
2134,C,Ship,4,Moderate,1,Low Rating - Dissatisfied,202,Standard,2,New,Low,Male,40,40-52(%),2327,Medium,Not On Time
2135,E,Ship,3,Few,3,Low Rating - Dissatisfied,188,Standard,4,Regular,Medium,Male,3,1-13(%),3075,Medium,Not On Time
2136,D,Ship,5,Moderate,3,Low Rating - Dissatisfied,224,Standard,2,New,Medium,Male,52,40-52(%),3824,Medium,Not On Time
2137,E,Ship,5,Moderate,3,Low Rating - Dissatisfied,239,Standard,4,Regular,Low,Male,3,1-13(%),3734,Medium,Not On Time
2138,A,Ship,2,Few,3,Low Rating - Dissatisfied,140,Cheap,2,New,Medium,Male,20,14-26(%),1832,Light,Not On Time
2139,B,Ship,6,Frequent,3,Low Rating - Dissatisfied,272,Expensive,3,New,Low,Female,39,27-39(%),2518,Medium,Not On Time
2140,C,Ship,3,Few,3,Low Rating - Dissatisfied,160,Cheap,3,New,Medium,Female,65,53-65(%),1228,Light,Not On Time
2141,E,Ship,3,Few,3,Low Rating - Dissatisfied,261,Expensive,3,New,Medium,Male,14,14-26(%),3479,Medium,Not On Time
2142,D,Ship,3,Few,5,High Rating - Satisfied,199,Standard,3,New,Medium,Female,62,53-65(%),3259,Medium,Not On Time
2143,E,Ship,3,Few,1,Low Rating - Dissatisfied,154,Cheap,2,New,Medium,Female,56,53-65(%),1300,Light,Not On Time
2144,A,Ship,3,Few,5,High Rating - Satisfied,237,Standard,3,New,Low,Male,55,53-65(%),2451,Medium,Not On Time
2145,B,Ship,4,Moderate,4,High Rating - Satisfied,181,Standard,3,New,Low,Male,44,40-52(%),2070,Medium,Not On Time
2146,C,Ship,3,Few,3,Low Rating - Dissatisfied,133,Cheap,6,Regular,Low,Female,10,1-13(%),1686,Light,Not On Time
2147,E,Ship,3,Few,4,High Rating - Satisfied,150,Cheap,3,New,Medium,Male,47,40-52(%),1511,Light,Not On Time
2148,D,Ship,6,Frequent,5,High Rating - Satisfied,152,Cheap,3,New,Medium,Female,62,53-65(%),1325,Light,Not On Time
2149,E,Ship,6,Frequent,1,Low Rating - Dissatisfied,142,Cheap,5,Regular,Low,Female,30,27-39(%),1464,Light,Not On Time
2150,A,Ship,4,Moderate,3,Low Rating - Dissatisfied,214,Standard,2,New,Low,Male,57,53-65(%),2078,Medium,Not On Time
2151,B,Ship,5,Moderate,1,Low Rating - Dissatisfied,155,Cheap,2,New,Medium,Female,40,40-52(%),1024,Light,Not On Time
2152,C,Ship,4,Moderate,2,Low Rating - Dissatisfied,191,Standard,2,New,Low,Male,11,1-13(%),3985,Medium,Not On Time
2153,E,Ship,4,Moderate,5,High Rating - Satisfied,133,Cheap,2,New,Medium,Male,39,27-39(%),1106,Light,Not On Time
2154,D,Ship,3,Few,3,Low Rating - Dissatisfied,211,Standard,4,Regular,High,Female,22,14-26(%),2942,Medium,Not On Time
2155,E,Ship,4,Moderate,3,Low Rating - Dissatisfied,212,Standard,4,Regular,Low,Male,28,27-39(%),2422,Medium,Not On Time
2156,A,Ship,3,Few,1,Low Rating - Dissatisfied,150,Cheap,2,New,Low,Male,9,1-13(%),1158,Light,Not On Time
2157,B,Ship,3,Few,5,High Rating - Satisfied,208,Standard,3,New,Low,Female,41,40-52(%),3977,Medium,Not On Time
2158,C,Ship,4,Moderate,2,Low Rating - Dissatisfied,157,Cheap,2,New,Medium,Male,15,14-26(%),1724,Light,Not On Time
2159,E,Ship,4,Moderate,4,High Rating - Satisfied,228,Standard,3,New,Low,Male,60,53-65(%),2715,Medium,Not On Time
2160,D,Ship,3,Few,4,High Rating - Satisfied,254,Expensive,2,New,Medium,Female,44,40-52(%),3786,Medium,Not On Time
2161,E,Ship,4,Moderate,2,Low Rating - Dissatisfied,270,Expensive,2,New,Low,Male,65,53-65(%),3599,Medium,Not On Time
2162,A,Ship,6,Frequent,2,Low Rating - Dissatisfied,195,Standard,3,New,Medium,Male,30,27-39(%),3462,Medium,Not On Time
2163,B,Ship,4,Moderate,5,High Rating - Satisfied,193,Standard,4,Regular,Low,Male,33,27-39(%),2173,Medium,Not On Time
2164,C,Ship,5,Moderate,4,High Rating - Satisfied,165,Cheap,3,New,Medium,Female,48,40-52(%),1240,Light,Not On Time
2165,E,Road,3,Few,1,Low Rating - Dissatisfied,177,Standard,2,New,Low,Male,38,27-39(%),1099,Light,Not On Time
2166,D,Road,3,Few,4,High Rating - Satisfied,244,Standard,3,New,Low,Female,46,40-52(%),2844,Medium,Not On Time
2167,E,Road,3,Few,2,Low Rating - Dissatisfied,151,Cheap,2,New,Low,Male,26,14-26(%),1793,Light,Not On Time
2168,A,Road,3,Few,1,Low Rating - Dissatisfied,164,Cheap,2,New,Low,Male,2,1-13(%),1104,Light,Not On Time
2169,B,Road,5,Moderate,1,Low Rating - Dissatisfied,165,Cheap,3,New,Low,Female,37,27-39(%),1228,Light,Not On Time
2170,C,Road,3,Few,4,High Rating - Satisfied,256,Expensive,2,New,Medium,Male,55,53-65(%),2247,Medium,Not On Time
2171,E,Road,4,Moderate,4,High Rating - Satisfied,150,Cheap,4,Regular,Low,Male,5,1-13(%),1263,Light,Not On Time
2172,D,Road,2,Few,3,Low Rating - Dissatisfied,255,Expensive,3,New,Low,Male,27,27-39(%),3484,Medium,Not On Time
2173,E,Road,4,Moderate,3,Low Rating - Dissatisfied,268,Expensive,3,New,Medium,Female,23,14-26(%),2996,Medium,Not On Time
2174,A,Road,3,Few,5,High Rating - Satisfied,166,Cheap,3,New,Low,Female,1,1-13(%),1366,Light,Not On Time
2175,B,Road,3,Few,5,High Rating - Satisfied,230,Standard,3,New,Low,Female,49,40-52(%),3477,Medium,Not On Time
2176,C,Road,4,Moderate,3,Low Rating - Dissatisfied,163,Cheap,3,New,Low,Female,45,40-52(%),1395,Light,Not On Time
2177,E,Road,4,Moderate,4,High Rating - Satisfied,139,Cheap,3,New,High,Female,64,53-65(%),1415,Light,Not On Time
2178,D,Road,3,Few,5,High Rating - Satisfied,161,Cheap,3,New,Medium,Female,10,1-13(%),1978,Medium,Not On Time
2179,E,Road,6,Frequent,2,Low Rating - Dissatisfied,181,Standard,4,Regular,High,Female,6,1-13(%),3003,Medium,Not On Time
2180,A,Road,4,Moderate,1,Low Rating - Dissatisfied,242,Standard,3,New,High,Male,47,40-52(%),3489,Medium,Not On Time
2181,B,Road,3,Few,3,Low Rating - Dissatisfied,151,Cheap,3,New,Low,Female,24,14-26(%),1139,Light,Not On Time
2182,C,Road,3,Few,4,High Rating - Satisfied,167,Cheap,3,New,Medium,Male,50,40-52(%),1068,Light,Not On Time
2183,E,Road,3,Few,2,Low Rating - Dissatisfied,257,Expensive,3,New,Low,Female,25,14-26(%),2334,Medium,Not On Time
2184,D,Road,3,Few,2,Low Rating - Dissatisfied,204,Standard,2,New,Medium,Female,35,27-39(%),2090,Medium,Not On Time
2185,E,Road,5,Moderate,3,Low Rating - Dissatisfied,219,Standard,3,New,Low,Male,1,1-13(%),2027,Medium,Not On Time
2186,A,Road,3,Few,4,High Rating - Satisfied,202,Standard,3,New,Medium,Male,28,27-39(%),3707,Medium,Not On Time
2187,B,Flight,4,Moderate,5,High Rating - Satisfied,155,Cheap,2,New,Medium,Male,41,40-52(%),1367,Light,Not On Time
2188,C,Flight,3,Few,3,Low Rating - Dissatisfied,183,Standard,3,New,High,Female,6,1-13(%),3364,Medium,Not On Time
2189,E,Flight,5,Moderate,1,Low Rating - Dissatisfied,184,Standard,3,New,Low,Female,19,14-26(%),2625,Medium,Not On Time
2190,D,Flight,4,Moderate,5,High Rating - Satisfied,230,Standard,2,New,Low,Female,38,27-39(%),2890,Medium,Not On Time
2191,E,Flight,4,Moderate,2,Low Rating - Dissatisfied,139,Cheap,4,Regular,Low,Female,41,40-52(%),1511,Light,Not On Time
2192,A,Flight,4,Moderate,4,High Rating - Satisfied,252,Expensive,3,New,Medium,Female,7,1-13(%),2477,Medium,Not On Time
2193,B,Flight,3,Few,2,Low Rating - Dissatisfied,272,Expensive,3,New,Medium,Female,40,40-52(%),3766,Medium,Not On Time
2194,C,Flight,3,Few,2,Low Rating - Dissatisfied,134,Cheap,3,New,Low,Female,20,14-26(%),1391,Light,Not On Time
2195,E,Flight,3,Few,5,High Rating - Satisfied,169,Standard,3,New,Medium,Male,13,1-13(%),1934,Medium,Not On Time
2196,D,Flight,4,Moderate,2,Low Rating - Dissatisfied,214,Standard,2,New,Low,Male,49,40-52(%),3416,Medium,Not On Time
2197,E,Flight,3,Few,3,Low Rating - Dissatisfied,163,Cheap,3,New,Medium,Female,65,53-65(%),1614,Light,Not On Time
2198,A,Flight,4,Moderate,2,Low Rating - Dissatisfied,150,Cheap,3,New,Low,Female,48,40-52(%),1193,Light,Not On Time
2199,B,Flight,5,Moderate,5,High Rating - Satisfied,216,Standard,2,New,High,Male,33,27-39(%),3202,Medium,Not On Time
2200,C,Flight,5,Moderate,2,Low Rating - Dissatisfied,116,Cheap,5,Regular,High,Female,56,53-65(%),1130,Light,Not On Time
2201,E,Flight,3,Few,4,High Rating - Satisfied,144,Cheap,2,New,Low,Female,33,27-39(%),1811,Light,Not On Time
2202,D,Flight,5,Moderate,3,Low Rating - Dissatisfied,266,Expensive,3,New,Low,Female,19,14-26(%),2508,Medium,Not On Time
2203,E,Flight,3,Few,3,Low Rating - Dissatisfied,154,Cheap,4,Regular,Medium,Female,62,53-65(%),1616,Light,Not On Time
2204,A,Flight,4,Moderate,3,Low Rating - Dissatisfied,255,Expensive,5,Regular,Low,Male,18,14-26(%),3644,Medium,Not On Time
2205,B,Flight,6,Frequent,2,Low Rating - Dissatisfied,229,Standard,3,New,Medium,Male,13,1-13(%),2322,Medium,Not On Time
2206,C,Flight,2,Few,1,Low Rating - Dissatisfied,111,Cheap,3,New,Medium,Male,16,14-26(%),1882,Medium,Not On Time
2207,E,Flight,3,Few,3,Low Rating - Dissatisfied,160,Cheap,2,New,Medium,Female,32,27-39(%),1718,Light,Not On Time
2208,D,Flight,3,Few,1,Low Rating - Dissatisfied,184,Standard,2,New,Low,Female,31,27-39(%),3191,Medium,Not On Time
2209,E,Ship,4,Moderate,4,High Rating - Satisfied,218,Standard,4,Regular,Low,Male,45,40-52(%),3234,Medium,Not On Time
2210,A,Ship,5,Moderate,1,Low Rating - Dissatisfied,137,Cheap,2,New,Low,Male,52,40-52(%),1012,Light,Not On Time
2211,B,Ship,4,Moderate,2,Low Rating - Dissatisfied,204,Standard,3,New,Medium,Male,14,14-26(%),3829,Medium,Not On Time
2212,C,Ship,6,Frequent,1,Low Rating - Dissatisfied,105,Cheap,5,Regular,Low,Female,57,53-65(%),1784,Light,Not On Time
2213,E,Ship,3,Few,1,Low Rating - Dissatisfied,256,Expensive,2,New,Medium,Female,63,53-65(%),3046,Medium,Not On Time
2214,D,Ship,4,Moderate,2,Low Rating - Dissatisfied,182,Standard,2,New,Medium,Female,54,53-65(%),3261,Medium,Not On Time
2215,E,Ship,3,Few,4,High Rating - Satisfied,260,Expensive,4,Regular,High,Male,17,14-26(%),2666,Medium,Not On Time
2216,A,Ship,4,Moderate,2,Low Rating - Dissatisfied,166,Cheap,3,New,Low,Male,62,53-65(%),1944,Medium,Not On Time
2217,B,Ship,5,Moderate,2,Low Rating - Dissatisfied,160,Cheap,4,Regular,Medium,Male,43,40-52(%),1479,Light,Not On Time
2218,C,Ship,4,Moderate,2,Low Rating - Dissatisfied,243,Standard,3,New,Medium,Female,13,1-13(%),2850,Medium,Not On Time
2219,E,Ship,6,Frequent,5,High Rating - Satisfied,240,Standard,4,Regular,Medium,Male,62,53-65(%),2400,Medium,Not On Time
2220,D,Ship,6,Frequent,1,Low Rating - Dissatisfied,229,Standard,6,Regular,Low,Male,35,27-39(%),3239,Medium,Not On Time
2221,E,Ship,3,Few,1,Low Rating - Dissatisfied,164,Cheap,2,New,Low,Male,2,1-13(%),1304,Light,Not On Time
2222,A,Ship,3,Few,4,High Rating - Satisfied,234,Standard,3,New,Medium,Female,37,27-39(%),2111,Medium,Not On Time
2223,B,Ship,4,Moderate,1,Low Rating - Dissatisfied,97,Cheap,2,New,High,Male,15,14-26(%),1836,Light,Not On Time
2224,C,Ship,4,Moderate,3,Low Rating - Dissatisfied,258,Expensive,3,New,Low,Female,12,1-13(%),2017,Medium,Not On Time
2225,E,Ship,3,Few,1,Low Rating - Dissatisfied,147,Cheap,2,New,Medium,Male,52,40-52(%),1934,Medium,Not On Time
2226,D,Ship,4,Moderate,3,Low Rating - Dissatisfied,180,Standard,4,Regular,Low,Male,14,14-26(%),1686,Light,Not On Time
2227,E,Ship,5,Moderate,1,Low Rating - Dissatisfied,212,Standard,3,New,Low,Female,11,1-13(%),2073,Medium,Not On Time
2228,A,Ship,3,Few,4,High Rating - Satisfied,198,Standard,2,New,Medium,Male,19,14-26(%),2373,Medium,Not On Time
2229,B,Ship,3,Few,1,Low Rating - Dissatisfied,239,Standard,3,New,Low,Female,63,53-65(%),2154,Medium,Not On Time
2230,C,Ship,4,Moderate,3,Low Rating - Dissatisfied,158,Cheap,2,New,Low,Male,46,40-52(%),1374,Light,Not On Time
2231,E,Ship,4,Moderate,3,Low Rating - Dissatisfied,218,Standard,3,New,High,Female,57,53-65(%),3311,Medium,Not On Time
2232,D,Ship,4,Moderate,4,High Rating - Satisfied,156,Cheap,3,New,Low,Male,20,14-26(%),1523,Light,Not On Time
2233,E,Ship,3,Few,4,High Rating - Satisfied,235,Standard,3,New,Low,Male,52,40-52(%),3447,Medium,Not On Time
2234,A,Ship,4,Moderate,5,High Rating - Satisfied,168,Cheap,3,New,Low,Female,4,1-13(%),1363,Light,Not On Time
2235,B,Ship,3,Few,1,Low Rating - Dissatisfied,178,Standard,3,New,High,Female,36,27-39(%),1297,Light,Not On Time
2236,C,Ship,4,Moderate,2,Low Rating - Dissatisfied,275,Expensive,3,New,Medium,Male,26,14-26(%),2449,Medium,Not On Time
2237,E,Ship,3,Few,4,High Rating - Satisfied,139,Cheap,2,New,Low,Male,45,40-52(%),1192,Light,Not On Time
2238,D,Ship,2,Few,5,High Rating - Satisfied,236,Standard,3,New,Medium,Female,13,1-13(%),2171,Medium,Not On Time
2239,E,Ship,3,Few,4,High Rating - Satisfied,155,Cheap,2,New,Low,Female,37,27-39(%),1780,Light,Not On Time
2240,A,Ship,3,Few,3,Low Rating - Dissatisfied,168,Cheap,3,New,Medium,Male,11,1-13(%),1008,Light,Not On Time
2241,B,Ship,4,Moderate,1,Low Rating - Dissatisfied,151,Cheap,2,New,Low,Male,42,40-52(%),1367,Light,Not On Time
2242,C,Ship,3,Few,4,High Rating - Satisfied,113,Cheap,4,Regular,Low,Female,56,53-65(%),1154,Light,Not On Time
2243,E,Ship,4,Moderate,3,Low Rating - Dissatisfied,133,Cheap,3,New,Medium,Female,50,40-52(%),1861,Medium,Not On Time
2244,D,Ship,5,Moderate,4,High Rating - Satisfied,163,Cheap,4,Regular,Medium,Male,57,53-65(%),1613,Light,Not On Time
2245,E,Ship,5,Moderate,3,Low Rating - Dissatisfied,206,Standard,2,New,Medium,Female,59,53-65(%),3278,Medium,Not On Time
2246,A,Ship,3,Few,2,Low Rating - Dissatisfied,177,Standard,2,New,Medium,Female,23,14-26(%),1929,Medium,Not On Time
2247,B,Ship,3,Few,2,Low Rating - Dissatisfied,206,Standard,2,New,Low,Male,3,1-13(%),2261,Medium,Not On Time
2248,C,Ship,5,Moderate,1,Low Rating - Dissatisfied,189,Standard,3,New,Medium,Male,13,1-13(%),3492,Medium,Not On Time
2249,E,Ship,3,Few,4,High Rating - Satisfied,270,Expensive,2,New,Low,Male,39,27-39(%),3690,Medium,Not On Time
2250,D,Ship,4,Moderate,1,Low Rating - Dissatisfied,238,Standard,3,New,Low,Female,33,27-39(%),2013,Medium,Not On Time
2251,E,Ship,5,Moderate,1,Low Rating - Dissatisfied,143,Cheap,2,New,Low,Male,46,40-52(%),1387,Light,Not On Time
2252,A,Ship,4,Moderate,1,Low Rating - Dissatisfied,173,Standard,2,New,Medium,Male,53,53-65(%),1251,Light,Not On Time
2253,B,Ship,3,Few,5,High Rating - Satisfied,134,Cheap,3,New,Medium,Male,38,27-39(%),1169,Light,Not On Time
2254,C,Ship,4,Moderate,4,High Rating - Satisfied,176,Standard,3,New,High,Male,34,27-39(%),1283,Light,Not On Time
2255,E,Ship,4,Moderate,3,Low Rating - Dissatisfied,160,Cheap,2,New,Medium,Female,38,27-39(%),1961,Medium,Not On Time
2256,D,Ship,3,Few,4,High Rating - Satisfied,230,Standard,3,New,High,Female,22,14-26(%),3546,Medium,Not On Time
2257,E,Ship,4,Moderate,5,High Rating - Satisfied,178,Standard,3,New,Low,Female,5,1-13(%),1012,Light,Not On Time
2258,A,Ship,3,Few,2,Low Rating - Dissatisfied,256,Expensive,4,Regular,Low,Female,18,14-26(%),2699,Medium,Not On Time
2259,B,Ship,3,Few,4,High Rating - Satisfied,256,Expensive,4,Regular,Low,Male,11,1-13(%),3030,Medium,Not On Time
2260,C,Ship,3,Few,2,Low Rating - Dissatisfied,208,Standard,4,Regular,Medium,Male,52,40-52(%),2900,Medium,Not On Time
2261,E,Ship,4,Moderate,3,Low Rating - Dissatisfied,119,Cheap,3,New,Low,Female,40,40-52(%),1233,Light,Not On Time
2262,D,Ship,3,Few,3,Low Rating - Dissatisfied,114,Cheap,6,Regular,Low,Female,26,14-26(%),1825,Light,Not On Time
2263,E,Ship,3,Few,5,High Rating - Satisfied,225,Standard,3,New,Low,Female,1,1-13(%),2864,Medium,Not On Time
2264,A,Ship,4,Moderate,5,High Rating - Satisfied,155,Cheap,4,Regular,High,Female,48,40-52(%),1972,Medium,Not On Time
2265,B,Ship,4,Moderate,4,High Rating - Satisfied,223,Standard,3,New,Medium,Female,51,40-52(%),3895,Medium,Not On Time
2266,C,Ship,5,Moderate,3,Low Rating - Dissatisfied,194,Standard,3,New,Medium,Female,6,1-13(%),2736,Medium,Not On Time
2267,E,Ship,5,Moderate,4,High Rating - Satisfied,281,Expensive,4,Regular,Medium,Female,40,40-52(%),3381,Medium,Not On Time
2268,D,Ship,4,Moderate,1,Low Rating - Dissatisfied,132,Cheap,4,Regular,Medium,Female,10,1-13(%),1343,Light,Not On Time
2269,E,Ship,4,Moderate,1,Low Rating - Dissatisfied,229,Standard,3,New,Medium,Female,53,53-65(%),3423,Medium,Not On Time
2270,A,Ship,4,Moderate,2,Low Rating - Dissatisfied,251,Standard,3,New,Low,Female,10,1-13(%),3517,Medium,Not On Time
2271,B,Ship,4,Moderate,1,Low Rating - Dissatisfied,113,Cheap,3,New,Low,Female,60,53-65(%),1200,Light,Not On Time
2272,C,Ship,5,Moderate,5,High Rating - Satisfied,234,Standard,6,Regular,Low,Female,52,40-52(%),2615,Medium,Not On Time
2273,E,Ship,3,Few,3,Low Rating - Dissatisfied,181,Standard,2,New,Medium,Male,58,53-65(%),3719,Medium,Not On Time
2274,D,Ship,5,Moderate,2,Low Rating - Dissatisfied,157,Cheap,2,New,Low,Male,32,27-39(%),1497,Light,Not On Time
2275,E,Ship,3,Few,1,Low Rating - Dissatisfied,155,Cheap,3,New,Low,Male,49,40-52(%),1203,Light,Not On Time
2276,A,Ship,3,Few,4,High Rating - Satisfied,209,Standard,2,New,Low,Male,62,53-65(%),2935,Medium,Not On Time
2277,B,Ship,4,Moderate,3,Low Rating - Dissatisfied,264,Expensive,3,New,Low,Female,39,27-39(%),2213,Medium,Not On Time
2278,C,Ship,3,Few,1,Low Rating - Dissatisfied,268,Expensive,3,New,Low,Female,47,40-52(%),2479,Medium,Not On Time
2279,E,Ship,6,Frequent,1,Low Rating - Dissatisfied,224,Standard,3,New,Medium,Male,64,53-65(%),2705,Medium,Not On Time
2280,D,Ship,4,Moderate,4,High Rating - Satisfied,223,Standard,10,Loyal,Low,Male,24,14-26(%),3271,Medium,Not On Time
2281,E,Ship,3,Few,2,Low Rating - Dissatisfied,191,Standard,3,New,High,Female,42,40-52(%),2374,Medium,Not On Time
2282,A,Ship,4,Moderate,1,Low Rating - Dissatisfied,184,Standard,3,New,High,Female,47,40-52(%),3081,Medium,Not On Time
2283,B,Ship,6,Frequent,5,High Rating - Satisfied,174,Standard,3,New,Medium,Female,32,27-39(%),1921,Medium,Not On Time
2284,C,Ship,6,Frequent,3,Low Rating - Dissatisfied,134,Cheap,8,Loyal,High,Female,12,1-13(%),1371,Light,Not On Time
2285,E,Ship,4,Moderate,1,Low Rating - Dissatisfied,135,Cheap,2,New,High,Female,25,14-26(%),1009,Light,Not On Time
2286,D,Ship,5,Moderate,4,High Rating - Satisfied,234,Standard,2,New,High,Female,61,53-65(%),3084,Medium,Not On Time
2287,E,Ship,3,Few,1,Low Rating - Dissatisfied,215,Standard,6,Regular,High,Male,5,1-13(%),3432,Medium,Not On Time
2288,A,Ship,5,Moderate,4,High Rating - Satisfied,187,Standard,2,New,Medium,Female,10,1-13(%),3549,Medium,Not On Time
2289,B,Ship,3,Few,1,Low Rating - Dissatisfied,238,Standard,2,New,Medium,Female,50,40-52(%),3438,Medium,Not On Time
2290,C,Ship,4,Moderate,2,Low Rating - Dissatisfied,273,Expensive,4,Regular,Low,Female,26,14-26(%),3223,Medium,Not On Time
2291,E,Ship,5,Moderate,4,High Rating - Satisfied,192,Standard,3,New,Medium,Male,46,40-52(%),3709,Medium,Not On Time
2292,D,Ship,3,Few,5,High Rating - Satisfied,268,Expensive,4,Regular,High,Male,5,1-13(%),3446,Medium,Not On Time
2293,E,Ship,3,Few,5,High Rating - Satisfied,225,Standard,3,New,Low,Female,12,1-13(%),2721,Medium,Not On Time
2294,A,Ship,4,Moderate,5,High Rating - Satisfied,155,Cheap,4,Regular,High,Female,54,53-65(%),1408,Light,Not On Time
2295,B,Ship,4,Moderate,2,Low Rating - Dissatisfied,223,Standard,3,New,Medium,Female,56,53-65(%),3158,Medium,Not On Time
2296,C,Ship,5,Moderate,1,Low Rating - Dissatisfied,194,Standard,3,New,Medium,Female,32,27-39(%),3003,Medium,Not On Time
2297,E,Ship,5,Moderate,4,High Rating - Satisfied,281,Expensive,4,Regular,Medium,Male,56,53-65(%),3709,Medium,Not On Time
2298,D,Ship,4,Moderate,5,High Rating - Satisfied,132,Cheap,4,Regular,Medium,Female,28,27-39(%),1715,Light,Not On Time
2299,E,Ship,4,Moderate,1,Low Rating - Dissatisfied,229,Standard,3,New,Medium,Female,20,14-26(%),2891,Medium,Not On Time
2300,A,Ship,4,Moderate,1,Low Rating - Dissatisfied,251,Standard,3,New,Low,Female,33,27-39(%),2502,Medium,Not On Time
2301,B,Ship,4,Moderate,5,High Rating - Satisfied,113,Cheap,3,New,Low,Female,52,40-52(%),1741,Light,Not On Time
2302,C,Road,5,Moderate,2,Low Rating - Dissatisfied,234,Standard,6,Regular,Low,Female,58,53-65(%),2448,Medium,Not On Time
2303,E,Road,3,Few,3,Low Rating - Dissatisfied,181,Standard,2,New,Medium,Female,52,40-52(%),3236,Medium,Not On Time
2304,D,Road,5,Moderate,2,Low Rating - Dissatisfied,157,Cheap,2,New,Low,Male,58,53-65(%),1654,Light,Not On Time
2305,E,Road,3,Few,3,Low Rating - Dissatisfied,155,Cheap,3,New,Low,Male,20,14-26(%),1830,Light,Not On Time
2306,A,Road,3,Few,5,High Rating - Satisfied,209,Standard,2,New,Low,Male,33,27-39(%),2603,Medium,Not On Time
2307,B,Road,4,Moderate,1,Low Rating - Dissatisfied,264,Expensive,3,New,Low,Male,13,1-13(%),3015,Medium,Not On Time
2308,C,Road,3,Few,2,Low Rating - Dissatisfied,268,Expensive,3,New,Low,Male,30,27-39(%),2867,Medium,Not On Time
2309,E,Road,6,Frequent,2,Low Rating - Dissatisfied,224,Standard,3,New,Medium,Female,26,14-26(%),3247,Medium,Not On Time
2310,D,Road,4,Moderate,3,Low Rating - Dissatisfied,223,Standard,10,Loyal,Low,Female,21,14-26(%),2943,Medium,Not On Time
2311,E,Road,3,Few,5,High Rating - Satisfied,191,Standard,3,New,High,Female,17,14-26(%),2235,Medium,Not On Time
2312,A,Road,4,Moderate,4,High Rating - Satisfied,184,Standard,3,New,High,Female,27,27-39(%),3967,Medium,Not On Time
2313,B,Road,6,Frequent,4,High Rating - Satisfied,174,Standard,3,New,Medium,Female,14,14-26(%),1651,Light,Not On Time
2314,C,Road,6,Frequent,2,Low Rating - Dissatisfied,134,Cheap,8,Loyal,High,Male,42,40-52(%),1054,Light,Not On Time
2315,E,Road,4,Moderate,5,High Rating - Satisfied,135,Cheap,2,New,High,Female,22,14-26(%),1195,Light,Not On Time
2316,D,Road,5,Moderate,5,High Rating - Satisfied,234,Standard,2,New,High,Male,50,40-52(%),3914,Medium,Not On Time
2317,E,Road,3,Few,1,Low Rating - Dissatisfied,215,Standard,6,Regular,High,Male,42,40-52(%),3715,Medium,Not On Time
2318,A,Road,5,Moderate,2,Low Rating - Dissatisfied,187,Standard,2,New,Medium,Female,29,27-39(%),2863,Medium,Not On Time
2319,B,Road,3,Few,2,Low Rating - Dissatisfied,238,Standard,2,New,Medium,Female,32,27-39(%),3274,Medium,Not On Time
2320,C,Road,4,Moderate,1,Low Rating - Dissatisfied,273,Expensive,4,Regular,Low,Female,54,53-65(%),2611,Medium,Not On Time
2321,E,Road,5,Moderate,5,High Rating - Satisfied,192,Standard,3,New,Medium,Female,37,27-39(%),2197,Medium,Not On Time
2322,D,Road,3,Few,5,High Rating - Satisfied,268,Expensive,4,Regular,High,Male,19,14-26(%),2893,Medium,Not On Time
2323,E,Road,3,Few,4,High Rating - Satisfied,164,Cheap,3,New,Low,Male,5,1-13(%),1408,Light,Not On Time
2324,A,Flight,2,Few,2,Low Rating - Dissatisfied,255,Expensive,3,New,Low,Male,59,53-65(%),1514,Light,Not On Time
